Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested,Hour,Delay_Flag,Refund_Flag,Delivery_Tier,Order_Segment,Hour_Bucket,Sentiment,Feedback_Theme,Sentiment_Score
ORD000053,CUST4814,Swiggy Instamart,22:29.5,31,Beverages,917,Quick and reliable!,5,No,No,22,0,0,On-Time,High,Evening,Positive,Speed,1
ORD000054,CUST2654,Blinkit,29:29.5,20,Fruits & Vegetables,424,"Not fresh, disappointed.",2,No,Yes,29,0,1,Express,Medium,Off-Peak,Negative,Product Quality,-1
ORD000055,CUST7227,Swiggy Instamart,43:29.5,51,Beverages,167,"Very late delivery, not happy.",2,Yes,Yes,43,1,1,Very Late,Low,Off-Peak,Negative,Speed,-1
ORD000056,CUST5554,JioMart,08:29.5,25,Fruits & Vegetables,657,Packaging could be better.,3,No,No,8,0,0,On-Time,High,Morning,Neutral,Packaging,0
ORD000057,CUST8428,JioMart,12:29.5,28,Personal Care,817,Good quality products.,4,No,No,12,0,0,On-Time,High,Lunch,Positive,Product Quality,1
ORD000058,CUST6977,Blinkit,40:29.5,24,Dairy,243,Wrong item delivered.,1,No,Yes,40,0,1,On-Time,Medium,Off-Peak,Negative,Order Accuracy,-1
ORD000059,CUST3664,JioMart,49:29.5,27,Dairy,557,"Not fresh, disappointed.",2,No,Yes,49,0,1,On-Time,High,Off-Peak,Negative,Product Quality,-1
ORD000060,CUST7065,JioMart,05:29.5,22,Fruits & Vegetables,555,Packaging could be better.,3,No,No,5,0,0,On-Time,High,Off-Peak,Neutral,Packaging,0
ORD000061,CUST6820,Swiggy Instamart,35:29.5,9,Fruits & Vegetables,586,Quick and reliable!,5,No,No,35,0,0,Express,High,Off-Peak,Positive,Speed,1
ORD000062,CUST4432,Blinkit,52:29.5,26,Beverages,666,Delivery person was rude.,2,No,Yes,52,0,1,On-Time,High,Off-Peak,Negative,Staff,-1
ORD000063,CUST5374,Swiggy Instamart,35:29.5,48,Snacks,61,Delivery person was rude.,2,Yes,Yes,35,1,1,Slow,Low,Off-Peak,Negative,Staff,-1
ORD000064,CUST2169,Swiggy Instamart,06:29.5,46,Dairy,772,"Horrible experience, never ordering again.",1,Yes,Yes,6,1,1,Slow,High,Off-Peak,Negative,Overall,-1
ORD000065,CUST3803,Swiggy Instamart,41:29.5,19,Personal Care,1595,"Not fresh, disappointed.",2,No,Yes,41,0,1,Express,Premium,Off-Peak,Negative,Product Quality,-1
ORD000066,CUST9751,Swiggy Instamart,11:29.5,14,Personal Care,1956,Wrong item delivered.,1,No,Yes,11,0,1,Express,Premium,Off-Peak,Negative,Order Accuracy,-1
ORD000067,CUST5010,Swiggy Instamart,58:29.5,9,Dairy,796,Wrong item delivered.,1,No,Yes,58,0,1,Express,High,Off-Peak,Negative,Order Accuracy,-1
ORD000068,CUST3677,Swiggy Instamart,17:29.5,20,Dairy,146,Excellent experience!,5,No,No,17,0,0,Express,Low,Off-Peak,Positive,Overall,1
ORD000069,CUST8573,Swiggy Instamart,34:29.5,24,Fruits & Vegetables,536,Quick and reliable!,5,No,No,34,0,0,On-Time,High,Off-Peak,Positive,Speed,1
ORD000070,CUST7216,Blinkit,45:29.5,34,Snacks,353,"Very late delivery, not happy.",2,No,Yes,45,0,1,On-Time,Medium,Off-Peak,Negative,Speed,-1
ORD000071,CUST5422,JioMart,48:29.5,25,Dairy,641,"Not fresh, disappointed.",2,No,Yes,48,0,1,On-Time,High,Off-Peak,Negative,Product Quality,-1
ORD000072,CUST4598,Swiggy Instamart,52:29.5,38,Fruits & Vegetables,341,Excellent experience!,5,No,No,52,0,0,Slow,Medium,Off-Peak,Positive,Overall,1
ORD000073,CUST6313,Swiggy Instamart,11:29.5,35,Dairy,425,"Fast delivery, great service!",5,No,No,11,0,0,On-Time,Medium,Off-Peak,Positive,Speed,1
ORD000074,CUST1916,Swiggy Instamart,30:29.5,33,Snacks,284,"Very late delivery, not happy.",2,No,Yes,30,0,1,On-Time,Medium,Off-Peak,Negative,Speed,-1
ORD000075,CUST4752,Swiggy Instamart,46:29.5,28,Beverages,905,Quick and reliable!,5,No,No,46,0,0,On-Time,High,Off-Peak,Positive,Speed,1
ORD000076,CUST1525,Swiggy Instamart,21:29.5,39,Grocery,1221,Very satisfied with the service.,5,No,No,21,0,0,Slow,Premium,Evening,Positive,Overall,1
ORD000077,CUST6168,Swiggy Instamart,11:29.5,36,Beverages,159,Items missing from order.,2,No,Yes,11,0,1,Slow,Low,Off-Peak,Negative,Order Accuracy,-1
ORD000078,CUST7572,JioMart,28:29.5,15,Fruits & Vegetables,122,Delivery person was rude.,2,No,Yes,28,0,1,Express,Low,Off-Peak,Negative,Staff,-1
ORD000079,CUST5386,JioMart,35:29.5,35,Beverages,276,Excellent experience!,5,No,No,35,0,0,On-Time,Medium,Off-Peak,Positive,Overall,1
ORD000080,CUST2084,Swiggy Instamart,15:29.5,24,Dairy,147,Very satisfied with the service.,5,No,No,15,0,0,On-Time,Low,Off-Peak,Positive,Overall,1
ORD000081,CUST4456,JioMart,13:29.5,39,Fruits & Vegetables,565,Very satisfied with the service.,5,No,No,13,0,0,Slow,High,Lunch,Positive,Overall,1
ORD000082,CUST6155,Blinkit,45:29.5,36,Personal Care,1848,Good quality products.,4,No,No,45,0,0,Slow,Premium,Off-Peak,Positive,Product Quality,1
ORD000083,CUST4483,Swiggy Instamart,31:29.5,47,Dairy,240,Packaging could be better.,3,Yes,No,31,1,0,Slow,Medium,Off-Peak,Neutral,Packaging,0
ORD000084,CUST9179,Blinkit,32:29.5,10,Beverages,910,Very satisfied with the service.,5,No,No,32,0,0,Express,High,Off-Peak,Positive,Overall,1
ORD000085,CUST7482,Blinkit,19:29.5,33,Grocery,314,Packaging could be better.,3,No,No,19,0,0,On-Time,Medium,Evening,Neutral,Packaging,0
ORD000086,CUST8517,Swiggy Instamart,50:29.5,23,Grocery,1332,"Very late delivery, not happy.",2,No,Yes,50,0,1,On-Time,Premium,Off-Peak,Negative,Speed,-1
ORD000087,CUST3340,JioMart,38:29.5,51,Beverages,640,Wrong item delivered.,1,Yes,Yes,38,1,1,Very Late,High,Off-Peak,Negative,Order Accuracy,-1
ORD000088,CUST5339,Blinkit,05:29.5,5,Beverages,465,"Horrible experience, never ordering again.",1,No,Yes,5,0,1,Express,Medium,Off-Peak,Negative,Overall,-1
ORD000089,CUST3287,Swiggy Instamart,03:29.5,34,Personal Care,1690,"Fast delivery, great service!",5,No,No,3,0,0,On-Time,Premium,Off-Peak,Positive,Speed,1
ORD000090,CUST5040,Blinkit,40:29.5,35,Fruits & Vegetables,191,Items missing from order.,2,No,Yes,40,0,1,On-Time,Low,Off-Peak,Negative,Order Accuracy,-1
ORD000091,CUST9830,Blinkit,18:29.5,8,Personal Care,183,Very satisfied with the service.,5,No,No,18,0,0,Express,Low,Evening,Positive,Overall,1
ORD000092,CUST5304,Blinkit,03:29.5,35,Fruits & Vegetables,288,"Fast delivery, great service!",5,No,No,3,0,0,On-Time,Medium,Off-Peak,Positive,Speed,1
ORD000093,CUST8019,Blinkit,31:29.5,9,Grocery,645,Excellent experience!,5,No,No,31,0,0,Express,High,Off-Peak,Positive,Overall,1
ORD000094,CUST7543,JioMart,22:29.5,22,Grocery,280,"Fast delivery, great service!",5,No,No,22,0,0,On-Time,Medium,Evening,Positive,Speed,1
ORD000095,CUST6930,Blinkit,38:29.5,34,Personal Care,703,Good quality products.,4,No,No,38,0,0,On-Time,High,Off-Peak,Positive,Product Quality,1
ORD000096,CUST4593,Blinkit,13:29.5,20,Grocery,378,Packaging could be better.,3,No,No,13,0,0,Express,Medium,Lunch,Neutral,Packaging,0
ORD000097,CUST3266,Blinkit,58:29.5,30,Fruits & Vegetables,306,Quick and reliable!,5,No,No,58,0,0,On-Time,Medium,Off-Peak,Positive,Speed,1
ORD000098,CUST9348,JioMart,31:29.5,29,Fruits & Vegetables,160,"Easy to order, loved it!",5,No,No,31,0,0,On-Time,Low,Off-Peak,Positive,App/UX,1
ORD000099,CUST9085,Blinkit,06:29.5,35,Beverages,364,"Not fresh, disappointed.",2,No,Yes,6,0,1,On-Time,Medium,Off-Peak,Negative,Product Quality,-1
ORD000100,CUST2489,Blinkit,52:29.5,19,Fruits & Vegetables,427,Quick and reliable!,5,No,No,52,0,0,Express,Medium,Off-Peak,Positive,Speed,1
ORD000101,CUST1771,JioMart,42:29.5,39,Beverages,160,Very satisfied with the service.,5,No,No,42,0,0,Slow,Low,Off-Peak,Positive,Overall,1
ORD000102,CUST2796,JioMart,52:29.5,5,Personal Care,377,Items missing from order.,2,No,Yes,52,0,1,Express,Medium,Off-Peak,Negative,Order Accuracy,-1
ORD000103,CUST3504,JioMart,00:29.5,45,Personal Care,634,Delivery person was rude.,2,Yes,Yes,0,1,1,Slow,High,Off-Peak,Negative,Staff,-1
ORD000104,CUST3621,Blinkit,53:29.5,27,Snacks,285,Excellent experience!,5,No,No,53,0,0,On-Time,Medium,Off-Peak,Positive,Overall,1
ORD000105,CUST7916,JioMart,11:29.5,28,Beverages,391,Items missing from order.,2,No,Yes,11,0,1,On-Time,Medium,Off-Peak,Negative,Order Accuracy,-1
ORD000106,CUST2040,JioMart,34:29.5,33,Snacks,51,Delivery person was rude.,2,No,Yes,34,0,1,On-Time,Low,Off-Peak,Negative,Staff,-1
ORD000107,CUST7304,Blinkit,15:29.5,31,Fruits & Vegetables,367,Good quality products.,4,No,No,15,0,0,On-Time,Medium,Off-Peak,Positive,Product Quality,1
ORD000108,CUST7252,JioMart,51:29.5,29,Grocery,1015,Excellent experience!,5,No,No,51,0,0,On-Time,Premium,Off-Peak,Positive,Overall,1
ORD000109,CUST8668,Blinkit,33:29.5,42,Beverages,607,Packaging could be better.,3,Yes,No,33,1,0,Slow,High,Off-Peak,Neutral,Packaging,0
ORD000110,CUST9669,Swiggy Instamart,27:29.5,14,Dairy,600,"Horrible experience, never ordering again.",1,No,Yes,27,0,1,Express,High,Off-Peak,Negative,Overall,-1
ORD000111,CUST5119,JioMart,10:29.5,20,Personal Care,727,Delivery person was rude.,2,No,Yes,10,0,1,Express,High,Morning,Negative,Staff,-1
ORD000112,CUST1188,Swiggy Instamart,55:29.5,34,Beverages,624,"Very late delivery, not happy.",2,No,Yes,55,0,1,On-Time,High,Off-Peak,Negative,Speed,-1
ORD000113,CUST2876,Blinkit,55:29.5,26,Fruits & Vegetables,252,Very satisfied with the service.,5,No,No,55,0,0,On-Time,Medium,Off-Peak,Positive,Overall,1
ORD000114,CUST9797,JioMart,19:29.5,42,Dairy,724,"Very late delivery, not happy.",2,Yes,Yes,19,1,1,Slow,High,Evening,Negative,Speed,-1
ORD000115,CUST5371,Blinkit,04:29.5,52,Grocery,623,"Fast delivery, great service!",5,Yes,No,4,1,0,Very Late,High,Off-Peak,Positive,Speed,1
ORD000116,CUST6573,Swiggy Instamart,42:29.5,30,Beverages,859,Quick and reliable!,5,No,No,42,0,0,On-Time,High,Off-Peak,Positive,Speed,1
ORD000117,CUST2827,Blinkit,08:29.5,12,Dairy,599,"Fast delivery, great service!",5,No,No,8,0,0,Express,High,Morning,Positive,Speed,1
ORD000118,CUST5808,JioMart,39:29.5,21,Beverages,502,Items missing from order.,2,No,Yes,39,0,1,On-Time,High,Off-Peak,Negative,Order Accuracy,-1
ORD000119,CUST8123,JioMart,02:29.5,9,Personal Care,931,Items missing from order.,2,No,Yes,2,0,1,Express,High,Off-Peak,Negative,Order Accuracy,-1
ORD000120,CUST3591,Swiggy Instamart,37:29.5,36,Dairy,198,"Fast delivery, great service!",5,No,No,37,0,0,Slow,Low,Off-Peak,Positive,Speed,1
ORD000121,CUST8433,Blinkit,48:29.5,20,Dairy,314,Packaging could be better.,3,No,No,48,0,0,Express,Medium,Off-Peak,Neutral,Packaging,0
ORD000122,CUST1053,JioMart,51:29.5,28,Dairy,509,"Very late delivery, not happy.",2,No,Yes,51,0,1,On-Time,High,Off-Peak,Negative,Speed,-1
ORD000123,CUST5315,Swiggy Instamart,04:29.5,27,Dairy,436,Very satisfied with the service.,5,No,No,4,0,0,On-Time,Medium,Off-Peak,Positive,Overall,1
ORD000124,CUST9201,JioMart,54:29.5,41,Grocery,718,Very satisfied with the service.,5,Yes,No,54,1,0,Slow,High,Off-Peak,Positive,Overall,1
ORD000125,CUST3927,JioMart,14:29.5,30,Snacks,418,Packaging could be better.,3,No,No,14,0,0,On-Time,Medium,Lunch,Neutral,Packaging,0
ORD000126,CUST9317,Blinkit,26:29.5,27,Snacks,312,"Very late delivery, not happy.",2,No,Yes,26,0,1,On-Time,Medium,Off-Peak,Negative,Speed,-1
ORD000127,CUST2743,JioMart,01:29.5,20,Fruits & Vegetables,230,"Easy to order, loved it!",5,No,No,1,0,0,Express,Medium,Off-Peak,Positive,App/UX,1
ORD000128,CUST5889,Blinkit,41:29.5,36,Fruits & Vegetables,619,Items missing from order.,2,No,Yes,41,0,1,Slow,High,Off-Peak,Negative,Order Accuracy,-1
ORD000129,CUST9317,JioMart,43:29.5,18,Snacks,70,Excellent experience!,5,No,No,43,0,0,Express,Low,Off-Peak,Positive,Overall,1
ORD000130,CUST4258,Swiggy Instamart,26:29.5,17,Fruits & Vegetables,596,Quick and reliable!,5,No,No,26,0,0,Express,High,Off-Peak,Positive,Speed,1
ORD000131,CUST3504,JioMart,07:29.5,24,Beverages,734,"Horrible experience, never ordering again.",1,No,Yes,7,0,1,On-Time,High,Morning,Negative,Overall,-1
ORD000132,CUST7126,Blinkit,14:29.5,50,Personal Care,1010,Packaging could be better.,3,Yes,No,14,1,0,Slow,Premium,Lunch,Neutral,Packaging,0
ORD000133,CUST3646,Blinkit,06:29.5,29,Beverages,580,Very satisfied with the service.,5,No,No,6,0,0,On-Time,High,Off-Peak,Positive,Overall,1
ORD000134,CUST9837,Swiggy Instamart,24:29.5,29,Fruits & Vegetables,303,"Fast delivery, great service!",5,No,No,24,0,0,On-Time,Medium,Off-Peak,Positive,Speed,1
ORD000135,CUST9689,JioMart,07:29.5,33,Dairy,472,"Not fresh, disappointed.",2,No,Yes,7,0,1,On-Time,Medium,Morning,Negative,Product Quality,-1
ORD000136,CUST1009,JioMart,57:29.5,32,Beverages,987,"Fast delivery, great service!",5,No,No,57,0,0,On-Time,High,Off-Peak,Positive,Speed,1
ORD000137,CUST6310,Swiggy Instamart,30:29.5,27,Dairy,207,"Very late delivery, not happy.",2,No,Yes,30,0,1,On-Time,Medium,Off-Peak,Negative,Speed,-1
ORD000138,CUST9005,JioMart,42:29.5,20,Beverages,548,Packaging could be better.,3,No,No,42,0,0,Express,High,Off-Peak,Neutral,Packaging,0
ORD000139,CUST1319,JioMart,02:29.5,25,Snacks,220,Delivery person was rude.,2,No,Yes,2,0,1,On-Time,Medium,Off-Peak,Negative,Staff,-1
ORD000140,CUST2832,Blinkit,51:29.5,27,Fruits & Vegetables,209,"Very late delivery, not happy.",2,No,Yes,51,0,1,On-Time,Medium,Off-Peak,Negative,Speed,-1
ORD000141,CUST6947,JioMart,20:29.5,15,Dairy,517,"Horrible experience, never ordering again.",1,No,Yes,20,0,1,Express,High,Evening,Negative,Overall,-1
ORD000142,CUST6038,JioMart,21:29.5,27,Dairy,244,Good quality products.,4,No,No,21,0,0,On-Time,Medium,Evening,Positive,Product Quality,1
ORD000143,CUST4923,Swiggy Instamart,27:29.5,31,Dairy,304,Excellent experience!,5,No,No,27,0,0,On-Time,Medium,Off-Peak,Positive,Overall,1
ORD000144,CUST1949,Swiggy Instamart,41:29.5,24,Beverages,899,Quick and reliable!,5,No,No,41,0,0,On-Time,High,Off-Peak,Positive,Speed,1
ORD000145,CUST4946,Blinkit,11:29.5,42,Personal Care,959,Delivery person was rude.,2,Yes,Yes,11,1,1,Slow,High,Off-Peak,Negative,Staff,-1
ORD000146,CUST2290,JioMart,01:29.5,32,Snacks,155,"Very late delivery, not happy.",2,No,Yes,1,0,1,On-Time,Low,Off-Peak,Negative,Speed,-1
ORD000147,CUST2403,JioMart,08:29.5,22,Fruits & Vegetables,131,"Very late delivery, not happy.",2,No,Yes,8,0,1,On-Time,Low,Morning,Negative,Speed,-1
ORD000148,CUST8962,JioMart,13:29.5,25,Grocery,330,Delivery person was rude.,2,No,Yes,13,0,1,On-Time,Medium,Lunch,Negative,Staff,-1
ORD000149,CUST2133,Blinkit,15:29.5,42,Fruits & Vegetables,617,Excellent experience!,5,Yes,No,15,1,0,Slow,High,Off-Peak,Positive,Overall,1
ORD000150,CUST9727,Blinkit,11:29.5,23,Dairy,403,"Not fresh, disappointed.",2,No,Yes,11,0,1,On-Time,Medium,Off-Peak,Negative,Product Quality,-1
ORD000151,CUST3060,Swiggy Instamart,30:29.5,21,Beverages,106,Excellent experience!,5,No,No,30,0,0,On-Time,Low,Off-Peak,Positive,Overall,1
ORD000152,CUST3103,Blinkit,25:29.5,21,Personal Care,1929,Packaging could be better.,3,No,No,25,0,0,On-Time,Premium,Off-Peak,Neutral,Packaging,0
ORD000153,CUST8787,JioMart,25:29.5,30,Dairy,610,Quick and reliable!,5,No,No,25,0,0,On-Time,High,Off-Peak,Positive,Speed,1
ORD000154,CUST3705,JioMart,56:29.5,32,Personal Care,696,"Very late delivery, not happy.",2,No,Yes,56,0,1,On-Time,High,Off-Peak,Negative,Speed,-1
ORD000155,CUST5342,Blinkit,56:29.5,36,Snacks,354,Quick and reliable!,5,No,No,56,0,0,Slow,Medium,Off-Peak,Positive,Speed,1
ORD000156,CUST9645,JioMart,11:29.5,22,Grocery,583,Good quality products.,4,No,No,11,0,0,On-Time,High,Off-Peak,Positive,Product Quality,1
ORD000157,CUST7932,JioMart,25:29.5,45,Dairy,486,"Easy to order, loved it!",5,Yes,No,25,1,0,Slow,Medium,Off-Peak,Positive,App/UX,1
ORD000158,CUST4470,Blinkit,52:29.5,35,Personal Care,731,"Horrible experience, never ordering again.",1,No,Yes,52,0,1,On-Time,High,Off-Peak,Negative,Overall,-1
ORD000159,CUST9835,Blinkit,07:29.5,25,Beverages,683,Excellent experience!,5,No,No,7,0,0,On-Time,High,Morning,Positive,Overall,1
ORD000160,CUST4295,JioMart,25:29.5,38,Grocery,1450,Wrong item delivered.,1,No,Yes,25,0,1,Slow,Premium,Off-Peak,Negative,Order Accuracy,-1
ORD000161,CUST6107,JioMart,57:29.5,49,Grocery,379,Quick and reliable!,5,Yes,No,57,1,0,Slow,Medium,Off-Peak,Positive,Speed,1
ORD000162,CUST7537,JioMart,06:29.5,34,Dairy,786,"Horrible experience, never ordering again.",1,No,Yes,6,0,1,On-Time,High,Off-Peak,Negative,Overall,-1
